music_id,title,performer,release_date,album_type,medium,genre,rating,rating_count,cover_link
10767657,大小說家 Fiction,林宥嘉,2012-06-22,专辑,CD,流行,8.2,25160,https://img1.doubanio.com/view/subject/s/public/s10385947.jpg
3013779,越长大越孤单,牛奶@咖啡,2008-03-18,专辑,CD,流行,7.8,28015,https://img9.doubanio.com/view/subject/s/public/s2975545.jpg
1403801,燕尾蝶 燕尾蝶-下定愛的決心,梁静茹,2004,专辑,CD,流行,8.1,26000,https://img1.doubanio.com/view/subject/s/public/s3595798.jpg
3729307,原谅我就是这样的女生 原諒我就是這樣的女生,戴佩妮,2009-05-16,专辑,CD+DVD,流行,7.7,21788,https://img2.doubanio.com/view/subject/s/public/s3780711.jpg
5365287,传奇,王菲,2010-11-05,单曲,CD,民谣,9.0,26806,https://img9.doubanio.com/view/subject/s/public/s4185764.jpg
3158576,Under the Radar 墜入琴網,Daniel Powter,2008-10-14,专辑,Audio CD,流行,8.4,19420,https://img1.doubanio.com/view/subject/s/public/s3273497.jpg
2083053,知足 MV / Karaoke DVD,五月天,2006,视频,DVD,流行,9.3,20097,https://img2.doubanio.com/view/subject/s/public/s4713371.jpg
11524982,我的歌声里,曲婉婷,2012-07-01,专辑,CD,流行,8.1,21688,https://img2.doubanio.com/view/subject/s/public/s11176273.jpg
1394693,王菲 快樂/不快樂,王菲,1997-09-30,专辑,CD,流行,9.4,31976,https://img1.doubanio.com/view/subject/s/public/s3336530.jpg
3843530,信仰在空中飘扬,汪峰,2009-07-25,专辑,CD,摇滚,8.8,21053,https://img1.doubanio.com/view/subject/s/public/s3910069.jpg
1403573,[i] Karen Love,莫文蔚,2002-04-29,专辑,CD,流行,8.8,22774,https://img1.doubanio.com/view/subject/s/public/s3944348.jpg
1395446,Songs About Jane,Maroon 5,2002,专辑,Audio CD,流行,8.8,22157,https://img1.doubanio.com/view/subject/s/public/s2382869.jpg
1937036,Back To Black 重回黑色怀抱,Amy Winehouse,2006-10-30,专辑,Audio CD,放克/灵歌/R&B,8.9,23317,https://img9.doubanio.com/view/subject/s/public/s2146936.jpg
5292091,Demo 3,陈绮贞,2001-11-09,Demo,CD,流行,9.2,20078,https://img1.doubanio.com/view/subject/s/public/s4571919.jpg
25811077,克卜勒 Kepler,孙燕姿,2014-02-27,专辑,CD,流行,8.7,33350,https://img1.doubanio.com/view/subject/s/public/s27220328.jpg
3005450,E=MC² 爱的方程式,Mariah Carey,2008-04-16,专辑,CD,放克/灵歌/R&B,8.6,21536,https://img1.doubanio.com/view/subject/s/public/s2982879.jpg
2286005,9 Crimes,Damien Rice,2006-11-27,单曲,Audio CD,民谣,9.4,18783,https://img9.doubanio.com/view/subject/s/public/s3341606.jpg
3579420,如果有一件事是重要的 如果有一件事是重要的+粉红色(demo),陈珊妮,2008-11-22,专辑,CD,流行,8.3,20365,https://img1.doubanio.com/view/subject/s/public/s3285190.jpg
1404457,赤裸裸 赤裸裸?!,郑钧,1994,专辑,CD,摇滚,8.9,24515,https://img9.doubanio.com/view/subject/s/public/s3666296.jpg
1410613,阿岳正传 Useless Guy,张震岳,2004-06-24,选集,CD,流行,9.0,20579,https://img9.doubanio.com/view/subject/s/public/s3899296.jpg
1408372,3颗猫饼干 三颗猫饼干 / Three Cat Cookies,"朱玫玲,董運昌,王雁盟,何真真",2004/04/26,专辑,CD,轻音乐,9.2,17496,https://img1.doubanio.com/view/subject/s/public/s1416778.jpg
3807272,21 Guns,Green Day,2009-07-14,Single,Audio CD,流行,9.2,20539,https://img1.doubanio.com/view/subject/s/public/s4468079.jpg
6540851,看我72变,蔡依林 Jolin Tsai,2003-03-07,专辑,CD,流行,8.1,35907,https://img1.doubanio.com/view/subject/s/public/s1506028.jpg
7065469,第二人生 明日版 SECOND ROUND - NOW HERE,五月天,2011-12-20,专辑,CD,流行,9.2,20715,https://img2.doubanio.com/view/subject/s/public/s7018733.jpg
1395280,Definitely Maybe 绝对可能,Oasis,1994-08-30,专辑,CD,摇滚,9.2,25200,https://img2.doubanio.com/view/subject/s/public/s4714001.jpg
1397751,First Love 初恋,宇多田ヒカル,1999,专辑,CD,流行,9.2,25421,https://img1.doubanio.com/view/subject/s/public/s1490767.jpg
5325161,阿密特 意识专辑,张惠妹,2009-06-26,专辑,CD,流行,8.1,24364,https://img9.doubanio.com/view/subject/s/public/s3856684.jpg
3323600,心·跳 心跳,王力宏 Leehom Wang,2008-12-26,专辑,CD,流行,7.3,23880,https://img9.doubanio.com/view/subject/s/public/s3485794.jpg
4010504,xx 同名专辑,The xx,2009-08-17,专辑,CD,摇滚,8.9,22718,https://img9.doubanio.com/view/subject/s/public/s3962066.jpg
3767208,回蔚,莫文蔚,2009-06-23,专辑,CD+DVD,流行,8.1,20237,https://img2.doubanio.com/view/subject/s/public/s3885892.jpg
3313756,"如果看見地獄，我就不怕魔鬼 If I See Hell, I Won't Be Afraid of Demons",Tizzy Bac,2009-02-13,专辑,CD,流行,8.2,19243,https://img2.doubanio.com/view/subject/s/public/s3751353.jpg
1438249,我们是五月天,五月天,2003年4月17日,专辑,CD,流行,9.4,21862,https://img1.doubanio.com/view/subject/s/public/s27076627.jpg
3803120,王妃 王妃,萧敬腾,2009-07-17,专辑,CD,流行,7.9,24458,https://img1.doubanio.com/view/subject/s/public/s3885797.jpg
3313848,Poker Face 扑克脸,Lady Gaga,"September 23, 2008",Single,Audio CD,流行,8.8,25583,https://img2.doubanio.com/view/subject/s/public/s3598342.jpg
1395143,唐朝 梦回唐朝,唐朝,1992-12,CD＋DVD,CD,摇滚,9.1,22918,https://img1.doubanio.com/view/subject/s/public/s8903729.jpg
1407700,寻找周杰伦,周杰伦,2003-12-1,EP,音乐CD,流行,9.1,30101,https://img1.doubanio.com/view/subject/s/public/s3726558.jpg
5360525,她说 概念自选辑,林俊杰,2010-12-08,专辑,CD,流行,8.3,35849,https://img2.doubanio.com/view/subject/s/public/s4550552.jpg
